delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,DJ Harris,DJ Hussey,0,M Klinger,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
0.2,M Klinger,DJ Hussey,0,DJ Harris,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
0.3,M Klinger,DJ Hussey,0,DJ Harris,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
0.4,DJ Harris,DJ Hussey,0,M Klinger,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
0.5,DJ Harris,DJ Hussey,0,M Klinger,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
0.6,M Klinger,DJ Hussey,0,DJ Harris,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
1.1,M Klinger,JM Bird,0,DJ Harris,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
1.2,DJ Harris,JM Bird,0,M Klinger,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
1.3,DJ Harris,JM Bird,0,M Klinger,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
1.4,M Klinger,JM Bird,0,DJ Harris,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0,0.0,0.0,0,0,0,0,3,0,3,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
1.5,DJ Harris,JM Bird,0,M Klinger,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
1.6,M Klinger,JM Bird,0,DJ Harris,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
2.1,M Klinger,JP Faulkner,0,DJ Harris,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
2.2,M Klinger,JP Faulkner,0,DJ Harris,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
2.3,M Klinger,JP Faulkner,0,DJ Harris,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
2.4,DJ Harris,JP Faulkner,0,M Klinger,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
2.5,M Klinger,JP Faulkner,0,DJ Harris,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
2.6,DJ Harris,JP Faulkner,{'legbyes': 1},M Klinger,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0.0,0,0,0,0,0,1,1,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
3.1,DJ Harris,DJ Hussey,0,M Klinger,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
3.2,DJ Harris,DJ Hussey,0,M Klinger,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
3.3,DJ Harris,DJ Hussey,0,M Klinger,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0,0.0,0.0,0,0,0,0,3,0,3,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
3.4,M Klinger,DJ Hussey,0,DJ Harris,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0,0.0,0.0,0,0,0,0,3,0,3,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
3.5,DJ Harris,DJ Hussey,0,M Klinger,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
3.6,M Klinger,DJ Hussey,0,DJ Harris,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
4.1,DJ Harris,CJ McKay,0,M Klinger,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Adelaide Strikers,0,2012-01-19,male,T20,0,Melbourne Stars,wickets,6,0,0,0,0,CJ McKay,20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Cricket Ground
